연도,연령대,행정동,인구수
2016,80세+,수내2동,223
2016,80세+,수내3동,197
2016,80세+,정자1동,524
2016,80세+,정자2동,585
2016,80세+,정자3동,394
2016,80세+,정자동,296
2017,0-5세,구미1동,945
2017,0-5세,구미동,1649
2017,0-5세,금곡동,1443
2017,0-5세,분당동,1320
2017,0-5세,수내1동,658
2017,0-5세,수내2동,454
2017,0-5세,수내3동,503
2017,0-5세,정자1동,1285
2017,0-5세,정자2동,857
2017,0-5세,정자3동,880
2017,0-5세,정자동,1185
2017,06-10세,구미1동,740
2017,06-10세,구미동,1306
2017,06-10세,금곡동,1135
2017,06-10세,분당동,1432
2017,06-10세,수내1동,939
2017,06-10세,수내2동,915
2017,06-10세,수내3동,998
2017,06-10세,정자1동,1309
2017,06-10세,정자2동,530
2017,06-10세,정자3동,831
2017,06-10세,정자동,847
2017,11-15세,구미1동,937
2017,11-15세,구미동,1506
2017,11-15세,금곡동,1234
2017,11-15세,분당동,1581
2017,11-15세,수내1동,1144
2017,11-15세,수내2동,1061
2017,11-15세,수내3동,1335
2017,11-15세,정자1동,1611
2017,11-15세,정자2동,755
2017,11-15세,정자3동,930
2017,11-15세,정자동,991
2017,16-20세,구미1동,1310
2017,16-20세,구미동,2144
2017,16-20세,금곡동,1826
2017,16-20세,분당동,1958
2017,16-20세,수내1동,1425
2017,16-20세,수내2동,949
2017,16-20세,수내3동,1303
2017,16-20세,정자1동,2045
2017,16-20세,정자2동,1136
2017,16-20세,정자3동,1300
2017,16-20세,정자동,1343
2017,21-25세,구미1동,1486
2017,21-25세,구미동,2395
2017,21-25세,금곡동,2113
2017,21-25세,분당동,2032
2017,21-25세,수내1동,1168
2017,21-25세,수내2동,599
2017,21-25세,수내3동,1050
2017,21-25세,정자1동,2209
2017,21-25세,정자2동,1031
2017,21-25세,정자3동,1157
2017,21-25세,정자동,1491
2017,26-30세,구미1동,1405
2017,26-30세,구미동,2343
2017,26-30세,금곡동,2232
2017,26-30세,분당동,2119
2017,26-30세,수내1동,1124
2017,26-30세,수내2동,429
2017,26-30세,수내3동,969
2017,26-30세,정자1동,2544
2017,26-30세,정자2동,1419
2017,26-30세,정자3동,1120
2017,26-30세,정자동,1977
2017,31-35세,구미1동,1519
2017,31-35세,구미동,2579
2017,31-35세,금곡동,2694
2017,31-35세,분당동,2032
2017,31-35세,수내1동,1280
2017,31-35세,수내2동,369
2017,31-35세,수내3동,872
2017,31-35세,정자1동,2897
2017,31-35세,정자2동,1993
2017,31-35세,정자3동,1241
2017,31-35세,정자동,2254
2017,36-40세,구미1동,1410
2017,36-40세,구미동,2550
2017,36-40세,금곡동,2436
2017,36-40세,분당동,2064
2017,36-40세,수내1동,1489
2017,36-40세,수내2동,770
2017,36-40세,수내3동,1068
2017,36-40세,정자1동,2756
2017,36-40세,정자2동,1417
2017,36-40세,정자3동,1322
2017,36-40세,정자동,1774
2017,41-45세,구미1동,1676
2017,41-45세,구미동,2909
2017,41-45세,금곡동,2378
2017,41-45세,분당동,2656
2017,41-45세,수내1동,1964
2017,41-45세,수내2동,1433
2017,41-45세,수내3동,1821
2017,41-45세,정자1동,2977
2017,41-45세,정자2동,1494
2017,41-45세,정자3동,1542
2017,41-45세,정자동,1810
2017,46-50세,구미1동,1795
2017,46-50세,구미동,3049
2017,46-50세,금곡동,2561
2017,46-50세,분당동,2817
2017,46-50세,수내1동,1991
2017,46-50세,수내2동,1337
2017,46-50세,수내3동,1733
2017,46-50세,정자1동,2940
2017,46-50세,정자2동,1501
2017,46-50세,정자3동,1681
2017,46-50세,정자동,1792
2017,51-55세,구미1동,1553
2017,51-55세,구미동,2778
2017,51-55세,금곡동,2360
2017,51-55세,분당동,2151
2017,51-55세,수내1동,1320
2017,51-55세,수내2동,750
2017,51-55세,수내3동,1099
2017,51-55세,정자1동,2324
2017,51-55세,정자2동,1268
2017,51-55세,정자3동,1311
2017,51-55세,정자동,1453
2017,56-60세,구미1동,1279
2017,56-60세,구미동,2347
2017,56-60세,금곡동,2291
2017,56-60세,분당동,1995
2017,56-60세,수내1동,989
2017,56-60세,수내2동,554
2017,56-60세,수내3동,851
2017,56-60세,정자1동,1675
2017,56-60세,정자2동,1157
2017,56-60세,정자3동,992
2017,56-60세,정자동,1448
2017,61-65세,구미1동,785
2017,61-65세,구미동,1604
2017,61-65세,금곡동,1630
2017,61-65세,분당동,1261
2017,61-65세,수내1동,643
2017,61-65세,수내2동,397
2017,61-65세,수내3동,516
2017,61-65세,정자1동,1188
2017,61-65세,정자2동,731
2017,61-65세,정자3동,631
2017,61-65세,정자동,1002
2017,66-70세,구미1동,570
2017,66-70세,구미동,1226
2017,66-70세,금곡동,1169
2017,66-70세,분당동,900
2017,66-70세,수내1동,547
2017,66-70세,수내2동,315
2017,66-70세,수내3동,336
2017,66-70세,정자1동,1039
2017,66-70세,정자2동,610
2017,66-70세,정자3동,448
2017,66-70세,정자동,669
2017,71-75세,구미1동,418
2017,71-75세,구미동,1049
2017,71-75세,금곡동,935
2017,71-75세,분당동,669
2017,71-75세,수내1동,493
2017,71-75세,수내2동,227
2017,71-75세,수내3동,229
2017,71-75세,정자1동,827
2017,71-75세,정자2동,525
2017,71-75세,정자3동,406
2017,71-75세,정자동,490
2017,76-80세,구미1동,354
2017,76-80세,구미동,853
2017,76-80세,금곡동,771
2017,76-80세,분당동,509
2017,76-80세,수내1동,447
2017,76-80세,수내2동,199
2017,76-80세,수내3동,187
2017,76-80세,정자1동,696
2017,76-80세,정자2동,477
2017,76-80세,정자3동,336
2017,76-80세,정자동,344
2017,80세+,구미1동,436
2017,80세+,구미동,1066
2017,80세+,금곡동,895
2017,80세+,분당동,604
2017,80세+,수내1동,548
2017,80세+,수내2동,235
2017,80세+,수내3동,206
2017,80세+,정자1동,574
2017,80세+,정자2동,609
2017,80세+,정자3동,440
2017,80세+,정자동,312
2018,0-5세,구미1동,913
2018,0-5세,구미동,1573
2018,0-5세,금곡동,1429
2018,0-5세,분당동,1234
2018,0-5세,수내1동,616
2018,0-5세,수내2동,457
2018,0-5세,수내3동,469
2018,0-5세,정자1동,1171
2018,0-5세,정자2동,801
2018,0-5세,정자3동,852
2018,0-5세,정자동,1137
2018,06-10세,구미1동,718
2018,06-10세,구미동,1244
2018,06-10세,금곡동,1073
2018,06-10세,분당동,1455
2018,06-10세,수내1동,920
2018,06-10세,수내2동,934
2018,06-10세,수내3동,996
2018,06-10세,정자1동,1306
2018,06-10세,정자2동,505
2018,06-10세,정자3동,832
2018,06-10세,정자동,813
